Name,Country,City,Type,Main Profile,Problem,Type of help,Company,Reg.No,Web,Public Phone,Additional phones,Short Phone,E-mail,WhatsApp,Location,Working days,Working hours,Non-working days,Working hours,Languages,Short description,Description,ID элемента
Centrs MARTA Rīga,Latvia,Riga,NGO,NGO,"Abuse & Domestic Violence, Sexual Abuse",Location,"Biedrība ""Centrs MARTA”",40008061978,https://marta.lv/,37167378539,,,centrs@marta.lv,,"Matīsa iela 49a-11, Латгальское предместье, Рига, LV-1009, Латвия",1-5,10:00-18:00,,,"EN, LV, RU",Women's help center,"""In Marta Centre You can get professional assistance and support in crisis situations
 A social worker, psychologists, psychotherapists, lawyers and other specialists provide a broad range of services. 
 If you are in an abusive relationship or have experienced violence - physical, emotional, sexual, economic, violent control or harassment. Threatening can also be a sign of violence.
 If you have been the victim of sexual exploitation, labor exploitation, sham marriages or other forms of human trafficking.""",4055610621
Centrs MARTA Liepājas filiāle,Latvia,Liepaja,NGO,NGO,"Abuse & Domestic Violence, Sexual Abuse",Location,"Biedrība ""Centrs MARTA”",40008061978,https://marta.lv/,37129195442,,,centrs@martaliepaja.lv,,"Kūrmājas prospekts 11, Лиепая, Латвия",1-5,10:00-18:00,,,"EN, LV, RU",Women's help center,"""In Marta Centre You can get professional assistance and support in crisis situations
 A social worker, psychologists, psychotherapists, lawyers and other specialists provide a broad range of services. 
 If you are in an abusive relationship or have experienced violence - physical, emotional, sexual, economic, violent control or harassment. Threatening can also be a sign of violence.
 If you have been the victim of sexual exploitation, labor exploitation, sham marriages or other forms of human trafficking.""",4055696437
Centrs MARTA Rēzeknes filiāle,Latvia,Rezekne,NGO,NGO,"Abuse & Domestic Violence, Sexual Abuse",Location,"Biedrība ""Centrs MARTA”",40008061978,https://marta.lv/,37125648595,,,rezekne@marta.lv,,"Viļānu iela 10, Резекне, Латвия",1-5,10:00-18:00,,,"EN, LV, RU",Women's help center,"""In Marta Centre You can get professional assistance and support in crisis situations
 A social worker, psychologists, psychotherapists, lawyers and other specialists provide a broad range of services. 
 If you are in an abusive relationship or have experienced violence - physical, emotional, sexual, economic, violent control or harassment. Threatening can also be a sign of violence.
 If you have been the victim of sexual exploitation, labor exploitation, sham marriages or other forms of human trafficking.""",4055729522
Skalbes,Latvia,Riga,NGO,NGO,All,Location,Biedrība „Skalbes”,40008017804,https://www.skalbes.lv/,37124551700,,,skalbes@skalbes.lv,,"Tērbatas iela 69, Центральный район, Рига, Латвия",1-5,10:00-17:00,,,"LV, EN, RU",Crisis Consulting Center,Crisis Consulting Center. It is possible to sign up for free and paid consultations with a psychologist.,4057910792
Skalbes Hotline,Latvia,,NGO,NGO,All,Hot-Line,Biedrība „Skalbes”,40008017804,https://www.skalbes.lv/,37167222922,+37127722292,116123,skalbes@skalbes.lv,,Latvia,7,24,,,"RU, LV, EN",24-hour emotional support helpline,"24-hour crisis helpline. You will get immediate emotional support when you call. And make an appointment with a certified psychologist. Every adult in Latvia can get up to 10 free consultations, which are organized on one of the online platforms.",4057781338
Bērnu un jauniešu centra Krīzes centrs bērniem,Latvia,Riga,Government,Church,"Abuse & Domestic Violence, Sexual Abuse, Teenagers & Youth in transitional age",Location,Rīgas valstspilsētas pašvaldība,90011524360,https://ld.riga.lv/lv/socialie-pakalpojumi-102/socialie-pakalpojumi-49/krizes-centri.html,37128855596,+37167848107,,,,"Maskavas iela 180 B Rīga, LV - 1019",7,24,,,"LV, RU, EN",Children and Youth Centre Crisis Centre for Children,"Riga Municipality Children and Youth Centre Crisis Centre for Children
 The service is provided for children from 1.5 to 18 years of age
 (30 places)
 24-hour contact phone 
 Social workers:
 67012149 67012147 67012118",4071004677
Pusaudžu Resursu Centrs Rīgas filiāle,Latvia,Riga,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37129164747,,,info@pusaudzucentrs.lv,,"Aleksandra Čaka iela 83/85, Центральный район, Rīga, Latvia",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061530102
Pusaudžu Resursu Centrs Liepājas filiāle,Latvia,Liepaja,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37126623422,,,liepaja@pusaudzucentrs.lv,,"Krišjāņa Barona iela 8, Liepāja, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061704173
Pusaudžu Resursu Centrs Ventspils filiāle,Latvia,Ventspils,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37125458111,,,ventspils@pusaudzucentrs.lv,,"Ventspils, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061747635
Pusaudžu Resursu Centrs Valmieras filiāle,Latvia,Valmiera,Commercial,NGO,"Teenagers & Youth in transitional age, Parenting, School",Location,SIA Bērnu un pusaudžu resursu centrs,42103113271,https://pusaudzucentrs.lv/,37126433366,,,valmiera@pusaudzucentrs.lv,,"Valmiera, Латвия",1-5,11:00-19:00,,,"LV, RU, EN",Resource center for teenagers,Support for youth in transitional age and their families. Psychological counseling. Group exercises.,4061767943
